age_target,age_target_text
1_1_1_1_0_0_1_1_1_0_0_0_0_0_0_0_0,"0--19, 30--44"
0_0_0_0_0_0_0_0_0_0_1_0_1_1_1_1_1,"50--54, 60+"
0_0_1_0_0_0_0_0_0_0_0_0_1_1_1_1_1,"10--14, 60+"
0_0_1_0_0_0_0_0_0_0_0_1_1_1_1_1_1,"10--14, 55+"
1_1_1_1_1_0_1_1_0_0_0_0_0_0_0_0_0,"0--24, 30--39"
0_0_0_0_0_0_0_1_0_0_1_1_1_1_1_1_1,"35--39, 50+"
0_1_1_1_0_0_0_0_0_0_0_0_1_1_1_1_1,"5--19, 60+"
0_1_1_1_0_0_0_0_0_0_1_1_1_1_1_1_1,"5--19, 50+"
0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_0_1,"50--74, 80+"
0_0_0_0_0_0_1_1_0_0_1_1_1_1_1_1_1,"30--39, 50+"
0_0_0_0_0_0_0_1_0_0_1_1_1_1_1_1_1,"35--39, 50+"
0_0_0_0_0_0_0_1_0_1_1_1_1_1_1_1_1,"35--39, 45+"
0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,80+
0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,75+
0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,70+
0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,65+
0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,60+
0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,55+
0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,50+
0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1,45+
0_1_1_1_1_1_1_1_0_0_0_0_0_0_0_0_0,5--39
1_1_1_1_1_1_1_1_0_0_0_0_0_0_0_0_0,0--39
1_1_1_1_0_0_0_0_0_0_0_0_0_1_1_1_1,"0--19, 65+"
0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_0,75--80
0_1_1_1_1_1_1_1_1_0_0_0_0_0_0_0_0,5--44
1_1_1_1_0_0_0_0_0_0_0_0_1_1_1_1_1,"0--19, 60+"
0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,40+
1_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_1,"0--19, 80+"
1_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,"0--5, 50+"
1_1_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0,0--24
0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_0,45--79
0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_0,60--79
1_1_1_1_0_0_0_0_0_0_0_1_1_1_1_1_1,"0--19, 55+"
0_0_0_0_0_0_1_1_1_1_1_1_1_1_1_1_1,30+
0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_0,55--79
